data_inicio_atividade,uf,quantidade
2016-01-01,PA,4
2016-01-01,PB,1
2016-01-01,PE,8
2016-01-01,PI,1
2016-01-01,PR,12
2016-01-01,RJ,41
2016-01-01,RN,4
2016-01-01,RO,2
2016-01-01,RS,17
2016-01-01,SC,7
2016-01-01,SP,63
2016-01-01,TO,2
2016-02-01,AL,1
2016-02-01,AM,1
2016-02-01,AP,1
2016-02-01,BA,7
2016-02-01,CE,6
2016-02-01,DF,6
2016-02-01,ES,11
2016-02-01,GO,10
2016-02-01,MA,4
2016-02-01,MG,25
2016-02-01,MS,2
2016-02-01,MT,2
2016-02-01,PA,5
2016-02-01,PB,3
2016-02-01,PE,7
2016-02-01,PI,2
2016-02-01,PR,12
2016-02-01,RJ,27
2016-02-01,RN,3
2016-02-01,RO,1
2016-02-01,RS,11
2016-02-01,SC,7
2016-02-01,SP,63
2016-02-01,TO,2
2016-03-01,AC,1
2016-03-01,AL,2
2016-03-01,AM,2
2016-03-01,AP,1
2016-03-01,BA,12
2016-03-01,CE,9
2016-03-01,DF,5
2016-03-01,ES,5
2016-03-01,GO,9
2016-03-01,MA,5
2016-03-01,MG,44
2016-03-01,MS,7
2016-03-01,MT,6
2016-03-01,PA,10
2016-03-01,PB,2
2016-03-01,PE,7
2016-03-01,PI,2
2016-03-01,PR,26
2016-03-01,RJ,39
2016-03-01,RN,2
2016-03-01,RO,2
2016-03-01,RR,1
2016-03-01,RS,16
2016-03-01,SC,14
2016-03-01,SP,78
2016-04-01,AC,1
2016-04-01,AL,5
2016-04-01,AM,4
2016-04-01,AP,1
2016-04-01,BA,8
2016-04-01,CE,8
2016-04-01,DF,4
2016-04-01,ES,4
2016-04-01,GO,6
2016-04-01,MA,1
2016-04-01,MG,28
2016-04-01,MS,3
2016-04-01,MT,6
2016-04-01,PA,3
2016-04-01,PB,1
2016-04-01,PE,10
2016-04-01,PI,2
2016-04-01,PR,17
2016-04-01,RJ,25
2016-04-01,RN,2
2016-04-01,RO,2
2016-04-01,RR,1
2016-04-01,RS,20
2016-04-01,SC,10
2016-04-01,SE,1
2016-04-01,SP,72
2016-04-01,TO,1
2016-05-01,AL,5
2016-05-01,AM,1
2016-05-01,AP,1
2016-05-01,BA,6
2016-05-01,CE,9
2016-05-01,DF,3
2016-05-01,ES,7
2016-05-01,GO,11
2016-05-01,MA,4
2016-05-01,MG,22
2016-05-01,MS,3
2016-05-01,MT,4
2016-05-01,PA,4
2016-05-01,PB,5
2016-05-01,PE,11
2016-05-01,PI,1
2016-05-01,PR,15
2016-05-01,RJ,30
2016-05-01,RN,5
2016-05-01,RO,6
2016-05-01,RS,15
2016-05-01,SC,12
2016-05-01,SP,67
2016-06-01,AL,2
2016-06-01,AM,3
2016-06-01,AP,2
2016-06-01,BA,10
2016-06-01,CE,7
2016-06-01,DF,5
2016-06-01,ES,8
2016-06-01,GO,6
2016-06-01,MA,1
2016-06-01,MG,34
2016-06-01,MS,1
2016-06-01,MT,4
2016-06-01,PA,4
2016-06-01,PB,1
2016-06-01,PE,5
2016-06-01,PI,2
2016-06-01,PR,15
2016-06-01,RJ,47
2016-06-01,RS,13
2016-06-01,SC,10
2016-06-01,SE,1
2016-06-01,SP,58
2016-06-01,TO,3
2016-07-01,AC,1
2016-07-01,AL,7
2016-07-01,AM,2
2016-07-01,BA,10
2016-07-01,CE,11
2016-07-01,DF,3
2016-07-01,ES,8
2016-07-01,GO,4
2016-07-01,MA,2
2016-07-01,MG,25
2016-07-01,MS,3
2016-07-01,MT,7
2016-07-01,PA,2
2016-07-01,PB,4
2016-07-01,PE,5
2016-07-01,PI,2
2016-07-01,PR,11
2016-07-01,RJ,36
2016-07-01,RN,3
2016-07-01,RO,1
2016-07-01,RR,1
2016-07-01,RS,11
2016-07-01,SC,16
2016-07-01,SP,71
2016-07-01,TO,3
2016-08-01,AL,3
2016-08-01,AM,2
2016-08-01,BA,10
2016-08-01,CE,3
2016-08-01,DF,4
2016-08-01,ES,5
2016-08-01,GO,8
2016-08-01,MA,1
2016-08-01,MG,35
2016-08-01,MS,7
2016-08-01,MT,3
2016-08-01,PA,5
2016-08-01,PB,5
2016-08-01,PE,12
2016-08-01,PI,2
2016-08-01,PR,12
2016-08-01,RJ,40
2016-08-01,RN,5
2016-08-01,RR,1
2016-08-01,RS,12
2016-08-01,SC,11
2016-08-01,SE,1
2016-08-01,SP,79
2016-08-01,TO,4
2016-09-01,AC,1
2016-09-01,AL,3
2016-09-01,AM,2
2016-09-01,BA,6
2016-09-01,CE,8
2016-09-01,DF,4
2016-09-01,ES,12
2016-09-01,GO,4
2016-09-01,MA,1
2016-09-01,MG,34
2016-09-01,MS,3
2016-09-01,MT,1
2016-09-01,PA,3
2016-09-01,PB,3
2016-09-01,PE,5
