uf,cnae_fiscal_principal,atividade_economica,quantidade
PA,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",45
PA,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,88
PB,4721102,Padaria e confeitaria com predominância de revenda,22
PB,5611201,Restaurantes e similares,77
PB,5611203,"Lanchonetes, casas de chá, de sucos e similares",92
PB,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",14
PB,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",14
PB,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,70
PE,4721102,Padaria e confeitaria com predominância de revenda,38
PE,5611201,Restaurantes e similares,217
PE,5611203,"Lanchonetes, casas de chá, de sucos e similares",208
PE,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",31
PE,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",29
PE,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,128
PI,4721102,Padaria e confeitaria com predominância de revenda,10
PI,5611201,Restaurantes e similares,75
PI,5611203,"Lanchonetes, casas de chá, de sucos e similares",64
PI,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",8
PI,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",11
PI,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,38
PR,4721102,Padaria e confeitaria com predominância de revenda,107
PR,5611201,Restaurantes e similares,372
PR,5611203,"Lanchonetes, casas de chá, de sucos e similares",473
PR,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",150
PR,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",85
PR,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,331
RJ,4721102,Padaria e confeitaria com predominância de revenda,159
RJ,5611201,Restaurantes e similares,659
RJ,5611203,"Lanchonetes, casas de chá, de sucos e similares",707
RJ,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",199
RJ,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",106
RJ,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,809
RN,4721102,Padaria e confeitaria com predominância de revenda,15
RN,5611201,Restaurantes e similares,99
RN,5611203,"Lanchonetes, casas de chá, de sucos e similares",80
RN,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",13
RN,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",10
RN,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,57
RO,4721102,Padaria e confeitaria com predominância de revenda,12
RO,5611201,Restaurantes e similares,48
RO,5611203,"Lanchonetes, casas de chá, de sucos e similares",60
RO,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",5
RO,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",8
RO,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,23
RR,4721102,Padaria e confeitaria com predominância de revenda,1
RR,5611201,Restaurantes e similares,16
RR,5611203,"Lanchonetes, casas de chá, de sucos e similares",17
RR,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",5
RR,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",8
RR,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,5
RS,4721102,Padaria e confeitaria com predominância de revenda,87
RS,5611201,Restaurantes e similares,323
RS,5611203,"Lanchonetes, casas de chá, de sucos e similares",369
RS,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",119
RS,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",68
RS,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,265
SC,4721102,Padaria e confeitaria com predominância de revenda,56
SC,5611201,Restaurantes e similares,231
SC,5611203,"Lanchonetes, casas de chá, de sucos e similares",337
SC,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",107
SC,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",66
SC,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,263
SE,4721102,Padaria e confeitaria com predominância de revenda,7
SE,5611201,Restaurantes e similares,43
SE,5611203,"Lanchonetes, casas de chá, de sucos e similares",45
SE,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",8
SE,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",3
SE,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,29
SP,4721102,Padaria e confeitaria com predominância de revenda,357
SP,5611201,Restaurantes e similares,1565
SP,5611203,"Lanchonetes, casas de chá, de sucos e similares",1944
SP,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",527
SP,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",301
SP,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,1690
TO,4721102,Padaria e confeitaria com predominância de revenda,7
TO,5611201,Restaurantes e similares,58
TO,5611203,"Lanchonetes, casas de chá, de sucos e similares",53
TO,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",13
TO,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",15
TO,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,23
